,CE appliance,dish washer,electric furnace,fridge,microwave,washer dryer,waste disposal unit,main
0,72.0,1.0,5.0,128.0,2.0,0.0,0.0,261.440002441
1,84.0,1.0,5.0,126.0,2.0,0.0,0.0,259.660003662
2,85.0,1.0,5.0,126.0,2.0,0.0,0.0,259.209991455
3,87.0,1.0,5.0,128.0,2.0,0.0,0.0,259.940002441
4,85.0,1.0,5.0,125.0,2.0,0.0,0.0,257.880004883
5,84.0,1.0,5.0,125.0,2.0,0.0,0.0,255.729995728
6,85.0,1.0,5.0,123.0,2.0,0.0,0.0,257.130004883
7,87.0,1.0,5.0,121.0,2.0,0.0,0.0,256.110015869
8,86.0,1.0,5.0,121.0,2.0,0.0,0.0,253.509994507
9,85.0,1.0,5.0,120.0,2.0,0.0,0.0,253.380004883
10,86.0,1.0,5.0,121.0,2.0,0.0,0.0,252.820007324
11,85.0,1.0,5.0,121.0,2.0,0.0,0.0,252.589996338
12,85.0,1.0,5.0,121.0,2.0,0.0,0.0,252.589996338
13,85.0,1.0,5.0,121.0,2.0,0.0,0.0,252.589996338
14,84.0,1.0,5.0,120.0,2.0,0.0,0.0,250.549987793
15,85.0,1.0,5.0,119.0,2.0,0.0,0.0,251.329986572
16,84.0,1.0,5.0,119.0,2.0,0.0,0.0,252.160003662
17,83.0,1.0,5.0,118.0,2.0,0.0,0.0,250.369995117
18,84.0,1.0,5.0,119.0,2.0,0.0,0.0,249.58001709
19,85.0,1.0,5.0,119.0,2.0,0.0,0.0,250.36000061
20,82.0,1.0,5.0,117.0,2.0,0.0,0.0,250.729995728
21,85.0,1.0,5.0,117.0,2.0,0.0,0.0,248.940002441
22,86.0,1.0,5.0,119.0,2.0,0.0,0.0,250.559997559
23,86.0,1.0,5.0,119.0,2.0,0.0,0.0,249.919998169
24,85.0,1.0,5.0,118.0,2.0,0.0,0.0,249.809997559
25,84.0,1.0,5.0,119.0,2.0,0.0,0.0,250.200012207
26,83.0,1.0,5.0,118.0,2.0,0.0,0.0,250.180007935
27,84.0,1.0,5.0,116.0,2.0,0.0,0.0,249.860015869
28,83.0,1.0,5.0,116.0,2.0,0.0,0.0,249.509994507
29,84.0,1.0,5.0,116.0,2.0,0.0,0.0,247.989990234
30,84.0,1.0,5.0,116.0,2.0,0.0,0.0,247.989990234
31,84.0,1.0,5.0,116.0,2.0,0.0,0.0,247.989990234
32,84.0,1.0,5.0,119.0,2.0,0.0,0.0,250.420013428
33,85.0,1.0,5.0,117.0,2.0,0.0,0.0,249.700012207
34,84.0,1.0,5.0,118.0,2.0,0.0,0.0,248.910003662
35,84.0,1.0,5.0,117.0,2.0,0.0,0.0,247.669998169
36,85.0,1.0,5.0,116.0,2.0,0.0,0.0,248.220001221
37,85.0,1.0,5.0,117.0,2.0,0.0,0.0,248.859985352
38,84.0,1.0,5.0,118.0,2.0,0.0,0.0,248.819992065
39,84.0,1.0,5.0,116.0,2.0,0.0,0.0,248.209991455
40,84.0,1.0,5.0,115.0,2.0,0.0,0.0,247.880004883
41,84.0,1.0,5.0,117.0,2.0,0.0,0.0,247.320007324
42,83.0,1.0,5.0,117.0,2.0,0.0,0.0,248.180007935
43,86.0,1.0,5.0,116.0,2.0,0.0,0.0,249.570007324
44,83.0,1.0,5.0,116.0,2.0,0.0,0.0,248.989990234
45,86.0,1.0,5.0,117.0,2.0,0.0,0.0,249.080001831
46,85.0,1.0,5.0,116.0,2.0,0.0,0.0,247.630004883
47,85.0,1.0,5.0,116.0,2.0,0.0,0.0,247.630004883
48,85.0,1.0,5.0,116.0,2.0,0.0,0.0,247.630004883
49,85.0,1.0,5.0,116.0,2.0,0.0,0.0,247.220001221
50,85.0,1.0,5.0,117.0,2.0,0.0,0.0,245.979995728
51,87.0,1.0,5.0,115.0,2.0,0.0,0.0,247.199996948
52,88.0,1.0,5.0,115.0,2.0,0.0,0.0,248.460006714
53,84.0,1.0,5.0,116.0,2.0,0.0,0.0,247.119995117
54,86.0,1.0,5.0,117.0,2.0,0.0,0.0,247.799987793
55,84.0,1.0,5.0,116.0,2.0,0.0,0.0,247.279998779
56,84.0,1.0,5.0,115.0,2.0,0.0,0.0,246.720001221
57,84.0,1.0,5.0,117.0,2.0,0.0,0.0,247.269989014
58,85.0,1.0,5.0,117.0,2.0,0.0,0.0,247.429992676
59,86.0,1.0,5.0,116.0,2.0,0.0,0.0,248.0
60,84.0,1.0,5.0,116.0,2.0,0.0,0.0,249.380004883
61,84.0,1.0,5.0,116.0,2.0,0.0,0.0,248.169998169
62,85.0,1.0,5.0,117.0,2.0,0.0,0.0,246.540008545
63,95.0,1.0,5.0,116.0,2.0,0.0,0.0,248.75
64,84.0,1.0,5.0,116.0,2.0,0.0,0.0,247.010009766
65,84.0,1.0,5.0,116.0,2.0,0.0,0.0,247.010009766
66,84.0,1.0,5.0,116.0,2.0,0.0,0.0,247.010009766
67,83.0,1.0,5.0,117.0,2.0,0.0,0.0,247.380004883
68,82.0,1.0,5.0,116.0,2.0,0.0,0.0,247.139984131
69,83.0,1.0,5.0,116.0,2.0,0.0,0.0,247.440002441
70,85.0,1.0,5.0,118.0,2.0,0.0,0.0,248.179992676
71,84.0,1.0,5.0,117.0,2.0,0.0,0.0,247.270004272
72,83.0,1.0,5.0,115.0,2.0,0.0,0.0,246.470001221
73,84.0,1.0,5.0,117.0,2.0,0.0,0.0,247.230010986
74,83.0,1.0,5.0,118.0,2.0,0.0,0.0,248.0
75,85.0,1.0,5.0,117.0,2.0,0.0,0.0,246.960006714
76,85.0,1.0,5.0,114.0,2.0,0.0,0.0,245.839996338
77,84.0,1.0,5.0,116.0,2.0,0.0,0.0,247.089996338
78,87.0,1.0,5.0,115.0,2.0,0.0,0.0,247.230010986
79,83.0,1.0,5.0,115.0,2.0,0.0,0.0,246.75
80,85.0,1.0,5.0,115.0,2.0,0.0,0.0,247.0
81,86.0,1.0,5.0,117.0,2.0,0.0,0.0,248.239990234
82,84.0,1.0,5.0,117.0,2.0,0.0,0.0,246.179992676
83,84.0,1.0,5.0,117.0,2.0,0.0,0.0,246.179992676
84,84.0,1.0,5.0,117.0,2.0,0.0,0.0,246.179992676
85,85.0,1.0,5.0,116.0,2.0,0.0,0.0,247.320007324
86,86.0,1.0,5.0,114.0,2.0,0.0,0.0,246.440002441
87,87.0,1.0,5.0,115.0,2.0,0.0,0.0,245.980010986
88,87.0,1.0,5.0,115.0,2.0,0.0,0.0,248.329986572
89,85.0,1.0,5.0,116.0,2.0,0.0,0.0,246.429992676
90,84.0,1.0,5.0,115.0,2.0,0.0,0.0,246.0
91,84.0,1.0,5.0,114.0,2.0,0.0,0.0,246.360015869
92,83.0,1.0,5.0,116.0,2.0,0.0,0.0,246.350006104
93,83.0,1.0,5.0,116.0,2.0,0.0,0.0,246.209991455
94,86.0,1.0,5.0,115.0,2.0,0.0,0.0,246.680007935
95,85.0,1.0,5.0,116.0,2.0,0.0,0.0,246.549987793
96,86.0,1.0,5.0,116.0,2.0,0.0,0.0,248.930007935
97,86.0,1.0,5.0,116.0,2.0,0.0,0.0,247.690002441
98,85.0,1.0,5.0,115.0,2.0,0.0,0.0,246.63999939
99,87.0,1.0,5.0,115.0,2.0,0.0,0.0,246.929992676
100,83.0,1.0,5.0,115.0,2.0,0.0,0.0,246.570007324
101,83.0,1.0,5.0,115.0,2.0,0.0,0.0,246.570007324
102,83.0,1.0,5.0,115.0,2.0,0.0,0.0,246.570007324
103,83.0,1.0,5.0,116.0,2.0,0.0,0.0,246.179992676
104,83.0,1.0,5.0,114.0,2.0,0.0,0.0,245.839996338
105,85.0,1.0,5.0,115.0,2.0,0.0,0.0,245.510009766
106,85.0,1.0,5.0,115.0,2.0,0.0,0.0,245.700012207
107,84.0,1.0,5.0,114.0,2.0,0.0,0.0,246.200012207
108,84.0,1.0,5.0,115.0,2.0,0.0,0.0,245.800003052
109,80.0,1.0,5.0,114.0,2.0,0.0,0.0,238.740005493
110,80.0,1.0,5.0,116.0,2.0,0.0,0.0,239.270004272
111,77.0,1.0,5.0,115.0,2.0,0.0,0.0,240.820007324
112,79.0,1.0,5.0,114.0,2.0,0.0,0.0,240.309997559
113,78.0,1.0,5.0,116.0,2.0,0.0,0.0,239.169998169
114,77.0,1.0,5.0,114.0,2.0,0.0,0.0,238.419998169
115,80.0,1.0,5.0,115.0,2.0,0.0,0.0,238.699996948
116,79.0,1.0,5.0,117.0,2.0,0.0,0.0,239.899993896
117,79.0,1.0,5.0,115.0,2.0,0.0,0.0,239.350006104
118,81.0,1.0,5.0,115.0,2.0,0.0,0.0,238.809997559
119,81.0,1.0,5.0,115.0,2.0,0.0,0.0,238.809997559
120,80.0,1.0,5.0,114.0,2.0,0.0,0.0,237.88999939
121,80.0,1.0,5.0,115.0,2.0,0.0,0.0,238.529998779
122,79.0,1.0,5.0,115.0,2.0,0.0,0.0,238.260009766
123,77.0,1.0,5.0,113.0,2.0,0.0,0.0,238.050003052
124,78.0,1.0,5.0,115.0,2.0,0.0,0.0,237.200012207
125,78.0,1.0,5.0,115.0,2.0,0.0,0.0,238.119995117
126,79.0,1.0,5.0,114.0,2.0,0.0,0.0,238.660003662
127,78.0,1.0,5.0,115.0,2.0,0.0,0.0,239.319992065
128,79.0,1.0,5.0,115.0,2.0,0.0,0.0,240.080001831
129,83.0,1.0,5.0,115.0,2.0,0.0,0.0,239.059997559
130,81.0,1.0,5.0,114.0,2.0,0.0,0.0,238.429992676
131,79.0,1.0,5.0,114.0,2.0,0.0,0.0,238.399993896
132,79.0,1.0,5.0,116.0,2.0,0.0,0.0,239.770004272
133,80.0,1.0,5.0,114.0,2.0,0.0,0.0,240.119995117
134,81.0,1.0,5.0,115.0,2.0,0.0,0.0,239.190002441
135,79.0,1.0,5.0,113.0,2.0,0.0,0.0,240.339996338
136,79.0,1.0,5.0,113.0,2.0,0.0,0.0,240.339996338
137,80.0,1.0,5.0,115.0,2.0,0.0,0.0,239.589996338
138,80.0,1.0,5.0,114.0,2.0,0.0,0.0,240.479995728
139,82.0,1.0,5.0,113.0,2.0,0.0,0.0,240.660003662
140,84.0,1.0,5.0,116.0,2.0,0.0,0.0,240.350006104
141,79.0,1.0,5.0,114.0,2.0,0.0,0.0,238.570007324
142,81.0,1.0,5.0,114.0,2.0,0.0,0.0,239.080001831
143,80.0,1.0,5.0,116.0,2.0,0.0,0.0,238.910003662
144,81.0,1.0,5.0,115.0,2.0,0.0,0.0,239.0
145,80.0,1.0,5.0,114.0,2.0,0.0,0.0,239.699996948
146,80.0,1.0,5.0,116.0,2.0,0.0,0.0,238.720001221
147,82.0,1.0,5.0,114.0,2.0,0.0,0.0,238.520004272
148,80.0,1.0,5.0,114.0,2.0,0.0,0.0,238.399993896
149,81.0,1.0,5.0,115.0,2.0,0.0,0.0,237.88999939
150,79.0,1.0,5.0,114.0,2.0,0.0,0.0,238.059997559
151,79.0,1.0,5.0,115.0,2.0,0.0,0.0,238.88999939
152,79.0,1.0,5.0,115.0,2.0,0.0,0.0,238.88999939
153,79.0,1.0,5.0,115.0,2.0,0.0,0.0,238.88999939
154,79.0,1.0,5.0,112.0,2.0,0.0,0.0,237.320007324
155,79.0,1.0,5.0,113.0,2.0,0.0,0.0,237.100006104
156,81.0,1.0,5.0,114.0,2.0,0.0,0.0,238.559997559
157,78.0,1.0,5.0,113.0,2.0,0.0,0.0,238.119995117
158,80.0,1.0,5.0,113.0,2.0,0.0,0.0,237.720001221
159,79.0,1.0,5.0,114.0,2.0,0.0,0.0,237.579986572
160,79.0,1.0,5.0,113.0,2.0,0.0,0.0,238.449996948
161,80.0,1.0,5.0,114.0,2.0,0.0,0.0,238.459991455
162,79.0,1.0,5.0,114.0,2.0,0.0,0.0,237.470001221
163,79.0,1.0,5.0,112.0,2.0,0.0,0.0,237.630004883
164,78.0,1.0,5.0,116.0,2.0,0.0,0.0,238.919998169
165,80.0,1.0,5.0,114.0,2.0,0.0,0.0,238.440002441
166,78.0,1.0,5.0,113.0,2.0,0.0,0.0,238.149993896
167,81.0,1.0,5.0,115.0,2.0,0.0,0.0,237.850006104
168,99.0,1.0,5.0,113.0,2.0,0.0,0.0,239.149993896
169,82.0,1.0,5.0,114.0,2.0,0.0,0.0,237.950012207
170,82.0,1.0,5.0,114.0,2.0,0.0,0.0,237.950012207
171,82.0,1.0,5.0,114.0,2.0,0.0,0.0,237.950012207
172,81.0,1.0,5.0,114.0,2.0,0.0,0.0,239.290008545
173,79.0,1.0,5.0,114.0,2.0,0.0,0.0,238.419998169
174,78.0,1.0,5.0,113.0,2.0,0.0,0.0,237.61000061
175,80.0,1.0,5.0,112.0,2.0,0.0,0.0,236.800003052
176,82.0,1.0,5.0,113.0,2.0,0.0,0.0,236.190002441
177,80.0,1.0,5.0,112.0,2.0,0.0,0.0,237.149993896
178,79.0,1.0,5.0,115.0,2.0,0.0,0.0,238.429992676
179,80.0,1.0,5.0,113.0,2.0,0.0,0.0,237.729995728
180,82.0,1.0,5.0,114.0,2.0,0.0,0.0,238.429992676
181,80.0,1.0,5.0,112.0,2.0,0.0,0.0,238.010009766
182,81.0,1.0,5.0,115.0,2.0,0.0,0.0,238.11000061
183,83.0,1.0,5.0,113.0,2.0,0.0,0.0,237.440002441
184,79.0,1.0,5.0,113.0,2.0,0.0,0.0,237.679992676
185,81.0,1.0,5.0,114.0,2.0,0.0,0.0,237.119995117
186,77.0,1.0,5.0,113.0,2.0,0.0,0.0,237.5
187,81.0,1.0,5.0,114.0,2.0,0.0,0.0,238.38999939
188,81.0,1.0,5.0,114.0,2.0,0.0,0.0,238.38999939
189,81.0,1.0,5.0,114.0,2.0,0.0,0.0,238.38999939
190,79.0,1.0,5.0,112.0,2.0,0.0,0.0,237.970001221
191,78.0,1.0,5.0,114.0,2.0,0.0,0.0,237.11000061
192,80.0,1.0,5.0,112.0,2.0,0.0,0.0,236.850006104
193,79.0,1.0,5.0,114.0,2.0,0.0,0.0,238.529998779
194,79.0,1.0,5.0,113.0,2.0,0.0,0.0,237.559997559
195,79.0,1.0,5.0,112.0,2.0,0.0,0.0,238.199996948
196,79.0,1.0,5.0,114.0,2.0,0.0,0.0,238.5
197,79.0,1.0,5.0,112.0,2.0,0.0,0.0,238.079986572
198,79.0,1.0,5.0,114.0,2.0,0.0,0.0,237.470001221
199,80.0,1.0,5.0,115.0,2.0,0.0,0.0,238.320007324
200,80.0,1.0,5.0,112.0,2.0,0.0,0.0,237.910003662
201,81.0,1.0,5.0,114.0,2.0,0.0,0.0,237.799987793
202,82.0,1.0,5.0,113.0,2.0,0.0,0.0,236.720001221
203,79.0,1.0,5.0,113.0,2.0,0.0,0.0,237.88999939
204,81.0,1.0,5.0,113.0,2.0,0.0,0.0,237.570007324
205,81.0,1.0,5.0,113.0,2.0,0.0,0.0,237.570007324
206,81.0,1.0,5.0,113.0,2.0,0.0,0.0,237.570007324
207,81.0,1.0,5.0,115.0,2.0,0.0,0.0,238.600006104
208,80.0,1.0,5.0,112.0,2.0,0.0,0.0,237.080001831
209,79.0,1.0,5.0,113.0,2.0,0.0,0.0,237.0
210,78.0,1.0,5.0,113.0,2.0,0.0,0.0,236.730010986
211,80.0,1.0,5.0,111.0,2.0,0.0,0.0,239.089996338
212,80.0,1.0,5.0,114.0,2.0,0.0,0.0,237.220001221
213,79.0,1.0,5.0,111.0,2.0,0.0,0.0,236.109985352
214,80.0,1.0,5.0,114.0,2.0,0.0,0.0,236.309997559
215,78.0,1.0,5.0,113.0,2.0,0.0,0.0,238.029998779
216,80.0,1.0,5.0,113.0,2.0,0.0,0.0,237.470001221
217,82.0,1.0,5.0,112.0,2.0,0.0,0.0,237.050003052
218,79.0,1.0,5.0,114.0,2.0,0.0,0.0,237.410003662
219,79.0,1.0,5.0,113.0,2.0,0.0,0.0,237.489990234
220,79.0,1.0,5.0,113.0,2.0,0.0,0.0,238.229995728
221,80.0,1.0,5.0,113.0,2.0,0.0,0.0,237.429992676
222,79.0,1.0,5.0,113.0,2.0,0.0,0.0,237.010009766
223,79.0,1.0,5.0,113.0,2.0,0.0,0.0,237.010009766
224,79.0,1.0,5.0,113.0,2.0,0.0,0.0,237.010009766
225,79.0,1.0,5.0,113.0,2.0,0.0,0.0,236.660003662
226,79.0,1.0,5.0,112.0,2.0,0.0,0.0,238.279998779
227,79.0,1.0,5.0,114.0,2.0,0.0,0.0,236.820007324
228,78.0,1.0,5.0,112.0,2.0,0.0,0.0,236.86000061
229,83.0,1.0,5.0,113.0,2.0,0.0,0.0,236.169998169
230,80.0,1.0,5.0,0.0,2.0,0.0,0.0,125.129997253
231,83.0,1.0,5.0,0.0,2.0,0.0,0.0,125.220001221
232,79.0,1.0,5.0,0.0,2.0,0.0,0.0,125.220001221
233,81.0,1.0,5.0,0.0,2.0,0.0,0.0,125.029998779
234,80.0,1.0,5.0,0.0,2.0,0.0,0.0,124.599998474
235,80.0,1.0,5.0,0.0,2.0,0.0,0.0,124.559997559
236,82.0,1.0,5.0,0.0,2.0,0.0,0.0,125.160003662
