,dish washer,electric furnace,electric stove,washer dryer,main
0,0.0,32.0,5.0,1.0,435.779998779
1,0.0,29.0,5.0,1.0,433.880004883
2,0.0,34.0,5.0,1.0,441.450012207
3,1.0,29.0,5.0,1.0,434.200012207
4,0.0,29.0,5.0,1.0,435.579986572
5,0.0,33.0,5.0,1.0,432.890014648
6,0.0,30.0,5.0,1.0,453.289978027
7,0.0,31.0,5.0,1.0,437.489990234
8,0.0,29.0,5.0,1.0,429.08001709
9,0.0,32.0,5.0,1.0,438.540008545
10,0.0,32.0,5.0,1.0,439.859985352
11,0.0,32.0,5.0,0.0,438.130004883
12,0.0,32.0,5.0,1.0,445.970001221
13,2.0,29.0,5.0,1.0,444.289978027
14,0.0,30.0,5.0,1.0,428.469970703
15,0.0,31.0,5.0,1.0,429.350006104
16,2.0,30.0,5.0,1.0,427.959991455
17,2.0,30.0,5.0,1.0,427.959991455
18,2.0,30.0,5.0,1.0,427.959991455
19,0.0,30.0,5.0,1.0,437.91998291
20,0.0,32.0,5.0,1.0,425.540008545
21,0.0,29.0,5.0,1.0,429.510009766
22,0.0,29.0,5.0,1.0,427.719970703
23,0.0,29.0,5.0,1.0,428.549987793
24,0.0,31.0,5.0,1.0,425.910003662
25,0.0,30.0,5.0,1.0,426.859985352
26,0.0,30.0,5.0,1.0,427.339996338
27,1.0,35.0,5.0,1.0,428.66998291
28,0.0,32.0,5.0,1.0,430.75
29,1.0,30.0,5.0,1.0,432.239990234
30,0.0,35.0,5.0,1.0,429.41998291
31,0.0,33.0,5.0,1.0,433.470001221
32,0.0,33.0,5.0,1.0,442.239990234
33,0.0,32.0,5.0,1.0,427.230010986
34,0.0,33.0,5.0,1.0,422.08996582
35,0.0,33.0,5.0,1.0,422.08996582
36,0.0,33.0,5.0,1.0,422.08996582
37,0.0,30.0,5.0,1.0,434.299987793
38,0.0,30.0,5.0,1.0,430.100006104
39,0.0,30.0,5.0,1.0,431.590026855
40,1.0,29.0,5.0,1.0,425.549987793
41,0.0,29.0,5.0,1.0,427.029968262
42,0.0,32.0,5.0,1.0,434.959991455
43,0.0,29.0,5.0,1.0,430.179992676
44,1.0,29.0,5.0,1.0,425.440002441
45,0.0,29.0,5.0,1.0,439.799987793
46,0.0,30.0,5.0,1.0,430.589996338
47,0.0,29.0,5.0,1.0,428.720001221
48,0.0,30.0,5.0,1.0,452.229980469
49,2.0,30.0,5.0,1.0,433.239990234
50,0.0,30.0,5.0,1.0,428.729980469
51,0.0,30.0,5.0,1.0,429.269989014
52,0.0,29.0,5.0,1.0,425.08001709
53,0.0,29.0,5.0,1.0,425.08001709
54,0.0,29.0,5.0,1.0,430.570007324
55,0.0,31.0,5.0,1.0,439.5
56,0.0,30.0,5.0,1.0,421.960021973
57,0.0,34.0,5.0,1.0,425.829986572
58,0.0,31.0,5.0,1.0,423.279998779
59,0.0,30.0,5.0,1.0,423.970031738
60,0.0,34.0,5.0,1.0,422.459991455
61,0.0,30.0,5.0,0.0,434.910003662
62,0.0,30.0,5.0,1.0,430.390014648
63,0.0,33.0,5.0,1.0,439.25
64,0.0,29.0,5.0,1.0,442.570007324
65,0.0,30.0,5.0,1.0,417.799987793
66,1.0,33.0,5.0,1.0,413.390014648
67,0.0,31.0,5.0,1.0,407.209991455
68,0.0,29.0,5.0,1.0,407.320007324
69,0.0,29.0,5.0,1.0,407.320007324
70,0.0,29.0,5.0,1.0,407.320007324
71,0.0,33.0,5.0,1.0,407.959991455
72,0.0,31.0,5.0,1.0,405.66998291
73,0.0,29.0,5.0,1.0,406.829986572
74,0.0,34.0,5.0,1.0,409.339996338
75,0.0,31.0,5.0,1.0,406.83001709
76,0.0,33.0,5.0,1.0,411.260009766
77,0.0,31.0,5.0,1.0,406.549987793
78,0.0,29.0,5.0,1.0,405.690002441
79,0.0,32.0,5.0,1.0,411.700012207
80,0.0,32.0,5.0,1.0,410.470001221
81,0.0,31.0,5.0,1.0,406.440002441
82,0.0,32.0,5.0,1.0,422.160003662
83,0.0,30.0,5.0,1.0,423.110015869
84,0.0,29.0,5.0,1.0,424.309997559
85,0.0,31.0,5.0,1.0,426.489990234
86,0.0,30.0,5.0,1.0,423.820007324
87,0.0,30.0,5.0,1.0,423.820007324
88,0.0,29.0,5.0,1.0,423.33001709
89,0.0,30.0,5.0,1.0,425.25
90,0.0,31.0,5.0,1.0,425.309997559
91,0.0,30.0,5.0,1.0,423.289978027
92,1.0,29.0,5.0,1.0,424.410003662
93,0.0,29.0,5.0,1.0,424.229980469
94,0.0,31.0,5.0,1.0,420.679992676
95,0.0,30.0,5.0,1.0,420.299987793
96,0.0,29.0,5.0,1.0,420.020019531
97,0.0,31.0,5.0,1.0,420.470001221
98,0.0,30.0,5.0,1.0,420.380004883
99,0.0,30.0,5.0,1.0,421.58996582
100,0.0,32.0,5.0,1.0,420.910003662
101,0.0,29.0,4.0,1.0,411.679992676
102,0.0,32.0,5.0,1.0,401.649993896
103,0.0,29.0,5.0,1.0,400.409973145
104,0.0,29.0,5.0,1.0,400.409973145
105,0.0,29.0,5.0,1.0,401.460021973
106,0.0,31.0,5.0,1.0,400.279998779
107,0.0,29.0,5.0,1.0,400.369995117
108,0.0,31.0,5.0,1.0,402.690002441
109,0.0,30.0,5.0,1.0,402.309997559
110,0.0,29.0,5.0,1.0,400.16998291
111,0.0,30.0,5.0,1.0,401.130004883
112,0.0,29.0,5.0,1.0,402.369995117
113,0.0,31.0,5.0,1.0,400.130004883
114,0.0,29.0,5.0,1.0,402.390014648
115,0.0,29.0,5.0,1.0,400.720001221
116,0.0,32.0,5.0,1.0,399.720001221
117,0.0,29.0,5.0,1.0,401.529998779
118,0.0,29.0,5.0,1.0,402.760009766
119,0.0,29.0,5.0,1.0,400.339996338
120,0.0,29.0,5.0,1.0,400.08996582
121,0.0,29.0,5.0,1.0,400.08996582
122,0.0,29.0,5.0,1.0,400.08996582
123,0.0,33.0,5.0,1.0,402.450012207
124,0.0,30.0,5.0,1.0,399.75
125,0.0,30.0,5.0,1.0,403.25
126,0.0,32.0,5.0,1.0,402.0
127,0.0,30.0,5.0,1.0,401.239990234
128,0.0,29.0,5.0,1.0,403.650024414
129,0.0,29.0,5.0,1.0,404.619995117
130,0.0,32.0,5.0,1.0,399.960021973
131,0.0,31.0,5.0,1.0,397.660003662
132,0.0,30.0,5.0,1.0,372.450012207
133,0.0,33.0,5.0,1.0,369.289978027
134,0.0,30.0,5.0,1.0,370.33001709
135,0.0,33.0,5.0,1.0,369.740020752
136,0.0,29.0,5.0,1.0,391.950012207
137,0.0,31.0,5.0,1.0,392.600006104
138,0.0,33.0,5.0,1.0,390.75
139,0.0,33.0,5.0,1.0,390.75
140,0.0,33.0,5.0,1.0,390.75
141,0.0,33.0,5.0,1.0,391.719970703
142,0.0,32.0,5.0,1.0,399.710021973
143,0.0,29.0,5.0,1.0,445.329986572
144,0.0,31.0,5.0,1.0,441.929992676
145,0.0,37.0,5.0,1.0,444.559997559
146,2.0,32.0,5.0,1.0,724.409973145
147,3.0,32.0,5.0,1.0,831.58001709
148,3.0,33.0,5.0,1.0,827.400024414
149,3.0,30.0,5.0,1.0,827.540039062
150,3.0,29.0,5.0,1.0,827.609985352
