,CE appliance,dish washer,electric furnace,electric space heater,fridge,microwave,washer dryer,waste disposal unit,main
0,42.5,0.0,290.0,,0.0,4.0,,0.0,6077.21972656
1,50.0,0.0,315.0,1680.0,0.0,5.0,0.0,0.0,6073.22998047
2,42.5,0.0,310.0,1675.0,0.0,4.0,0.0,0.0,6065.02001953
3,47.5,0.0,308.0,1679.0,0.0,3.0,0.0,0.0,6082.97998047
4,45.0,0.0,307.0,1674.0,0.0,3.0,0.0,0.0,6061.79003906
5,50.0,0.0,305.0,1677.0,0.0,3.0,0.0,0.0,6085.37011719
6,45.0,0.0,332.0,1673.0,0.0,3.0,0.0,0.0,6067.0
7,45.0,0.0,312.0,1675.0,0.0,3.0,0.0,0.0,6052.12988281
8,45.0,0.0,300.0,1675.0,0.0,3.0,0.0,0.0,6046.81005859
9,45.0,0.0,303.0,1675.0,0.0,3.0,0.0,0.0,6067.29003906
10,45.0,0.0,304.0,1675.0,0.0,3.0,0.0,0.0,6064.8203125
11,42.5,0.0,305.0,1677.0,0.0,3.0,0.0,0.0,6060.04980469
12,45.0,0.0,308.0,1680.0,0.0,3.0,0.0,0.0,6064.1796875
13,45.0,0.0,308.0,1678.0,0.0,3.0,0.0,0.0,6056.33984375
14,45.0,0.0,294.0,1678.0,0.0,3.0,0.0,0.0,6072.39013672
15,45.0,0.0,345.0,1684.0,0.0,3.0,0.0,0.0,6058.29980469
16,45.0,0.0,349.0,1676.0,0.0,4.0,2.5,0.0,6060.31005859
17,45.0,0.0,349.0,1676.0,0.0,4.0,2.5,0.0,6046.87011719
18,42.5,0.0,331.0,1679.0,0.0,3.0,2.5,0.0,6081.0703125
19,42.5,0.0,331.0,1679.0,0.0,3.0,2.5,0.0,6081.0703125
20,42.5,0.0,331.0,1679.0,0.0,3.0,2.5,0.0,6081.0703125
21,42.5,0.0,331.0,1679.0,0.0,3.0,2.5,0.0,6081.0703125
22,42.5,0.0,331.0,1679.0,0.0,3.0,2.5,0.0,6081.0703125
23,42.5,0.0,331.0,1679.0,0.0,3.0,2.5,0.0,6081.0703125
24,45.0,0.0,324.0,1677.0,0.0,4.0,0.0,0.0,6063.64013672
25,47.5,0.0,350.0,1679.0,0.0,3.0,2.5,0.0,6076.70996094
26,45.0,0.0,311.0,1677.0,0.0,3.0,0.0,0.0,6058.62988281
27,45.0,0.0,312.0,1673.0,0.0,3.0,2.5,0.0,6060.12011719
28,45.0,0.0,309.0,1673.0,0.0,3.0,2.5,0.0,6069.11035156
29,47.5,0.0,311.0,1676.0,0.0,4.0,0.0,0.0,6056.54003906
30,45.0,0.0,349.0,1673.0,0.0,3.0,0.0,0.0,6068.95996094
31,45.0,0.0,350.0,1677.0,0.0,3.0,0.0,0.0,6062.0
32,45.0,0.0,351.0,1677.0,0.0,3.0,2.5,0.0,6077.14013672
33,45.0,0.0,348.0,1677.0,0.0,3.0,2.5,0.0,6082.25976562
34,45.0,0.0,306.0,1678.0,0.0,3.0,0.0,0.0,6068.03027344
35,45.0,0.0,300.0,1678.0,0.0,4.0,0.0,0.0,6075.16015625
36,45.0,0.0,336.0,1682.0,0.0,4.0,2.5,0.0,6070.91992188
37,45.0,0.0,336.0,1682.0,0.0,4.0,2.5,0.0,6070.91992188
38,45.0,0.0,328.0,1682.0,0.0,4.0,2.5,0.0,6075.54980469
39,45.0,0.0,321.0,1675.0,0.0,4.0,2.5,0.0,6058.85009766
40,45.0,0.0,305.0,1680.0,0.0,4.0,2.5,0.0,6083.46972656
41,45.0,0.0,310.0,1676.0,0.0,5.0,0.0,0.0,6048.91015625
42,45.0,0.0,304.0,1670.0,0.0,4.0,2.5,1.0,6060.35986328
43,45.0,0.0,299.0,1668.0,0.0,4.0,0.0,0.0,6076.81005859
44,45.0,0.0,309.0,1674.0,0.0,4.0,0.0,0.0,6065.46972656
45,45.0,0.0,310.0,1671.0,0.0,4.0,0.0,0.0,6064.04980469
46,45.0,0.0,313.0,1671.0,0.0,4.0,0.0,0.0,6059.52001953
47,42.5,0.0,316.0,1673.0,0.0,4.0,0.0,0.0,6059.25
48,45.0,0.0,306.0,1667.0,0.0,4.0,2.5,0.0,6040.83984375
49,45.0,0.0,303.0,1670.0,0.0,3.0,2.5,0.0,6055.72998047
50,45.0,0.0,308.0,1675.0,0.0,3.0,0.0,0.0,6063.73046875
51,45.0,0.0,312.0,1670.0,0.0,3.0,0.0,0.0,6078.03027344
52,45.0,0.0,310.0,1674.0,0.0,4.0,0.0,0.0,6062.0
53,42.5,0.0,299.0,1674.0,0.0,4.0,0.0,0.0,6062.31005859
54,45.0,0.0,302.0,1674.0,0.0,4.0,0.0,0.0,6059.27001953
55,45.0,0.0,302.0,1674.0,0.0,4.0,0.0,0.0,6059.27001953
56,45.0,0.0,324.0,1674.0,0.0,4.0,0.0,0.0,6055.46972656
57,45.0,0.0,310.0,1673.0,0.0,4.0,0.0,0.0,6051.28027344
58,45.0,0.0,313.0,1672.0,0.0,4.0,0.0,0.0,6061.61035156
59,45.0,0.0,312.0,1677.0,0.0,4.0,0.0,0.0,6070.28027344
60,47.5,0.0,317.0,1675.0,0.0,4.0,0.0,0.0,6056.16015625
61,45.0,0.0,334.0,1678.0,0.0,4.0,0.0,0.0,6062.77001953
62,45.0,0.0,328.0,1681.0,0.0,4.0,0.0,0.0,6058.0
63,42.5,0.0,335.0,1682.0,0.0,3.0,0.0,0.0,6070.66015625
64,45.0,0.0,340.0,1682.0,0.0,3.0,0.0,0.0,6068.83007812
65,42.5,0.0,313.0,1684.0,0.0,3.0,0.0,0.0,6099.46972656
66,45.0,0.0,316.0,1684.0,0.0,4.0,0.0,0.0,6095.24023438
67,45.0,0.0,314.0,1680.0,0.0,4.0,0.0,0.0,6091.53027344
68,45.0,0.0,317.0,1678.0,0.0,4.0,0.0,0.0,6093.76953125
69,45.0,0.0,350.0,1679.0,0.0,3.0,0.0,0.0,6098.9296875
70,45.0,0.0,345.0,1679.0,0.0,4.0,0.0,0.0,6097.10009766
71,45.0,0.0,314.0,1678.0,0.0,4.0,0.0,0.0,6089.87011719
72,45.0,0.0,314.0,1678.0,0.0,4.0,0.0,0.0,6089.87011719
73,45.0,0.0,316.0,1677.0,0.0,4.0,0.0,0.0,6083.12988281
74,47.5,0.0,341.0,1677.0,0.0,4.0,0.0,0.0,6075.06005859
75,47.5,0.0,313.0,1682.0,0.0,4.0,0.0,0.0,6085.70019531
76,45.0,0.0,308.0,1673.0,0.0,4.0,0.0,0.0,6071.19042969
77,45.0,0.0,310.0,1675.0,0.0,4.0,0.0,0.0,6074.25
78,45.0,0.0,301.0,1673.0,0.0,4.0,0.0,0.0,6080.56005859
79,45.0,0.0,355.0,1673.0,0.0,3.0,0.0,0.0,6079.31005859
80,45.0,0.0,350.0,1670.0,0.0,3.0,2.5,0.0,6087.0
81,45.0,0.0,344.0,1672.0,0.0,3.0,2.5,0.0,6078.29003906
82,45.0,0.0,311.0,1672.0,0.0,3.0,2.5,0.0,6072.4296875
83,45.0,0.0,310.0,1665.0,0.0,4.0,0.0,0.0,6072.81005859
84,42.5,0.0,310.0,1674.0,0.0,3.0,0.0,0.0,6080.52978516
85,45.0,0.0,312.0,1673.0,0.0,3.0,0.0,0.0,6082.37988281
86,45.0,0.0,328.0,1676.0,0.0,3.0,0.0,0.0,6072.77001953
87,50.0,0.0,302.0,1677.0,0.0,3.0,2.5,0.0,6089.75976562
88,45.0,0.0,306.0,1669.0,0.0,4.0,0.0,0.0,6089.54980469
89,45.0,0.0,306.0,1669.0,0.0,4.0,0.0,0.0,6089.54980469
90,45.0,0.0,306.0,1669.0,0.0,4.0,0.0,0.0,6089.54980469
91,45.0,0.0,309.0,1675.0,0.0,4.0,0.0,0.0,6095.08984375
92,45.0,0.0,308.0,1675.0,0.0,4.0,0.0,0.0,6109.62988281
93,45.0,0.0,315.0,1672.0,0.0,4.0,0.0,0.0,6103.85986328
94,42.5,0.0,321.0,1684.0,0.0,4.0,0.0,0.0,6122.89990234
95,47.5,0.0,312.0,1679.0,0.0,4.0,2.5,0.0,6101.75
96,45.0,0.0,314.0,1683.0,0.0,4.0,0.0,0.0,6117.97998047
97,45.0,0.0,308.0,1681.0,0.0,4.0,0.0,0.0,6125.16015625
98,45.0,0.0,314.0,1680.0,0.0,3.0,0.0,0.0,6106.4296875
99,45.0,0.0,314.0,1680.0,0.0,4.0,0.0,0.0,6110.87011719
100,50.0,0.0,305.0,1685.0,0.0,3.0,2.5,0.0,6095.87011719
101,45.0,0.0,303.0,1682.0,0.0,4.0,0.0,0.0,6097.46972656
102,45.0,0.0,312.0,1686.0,0.0,4.0,0.0,1.0,6103.91015625
103,45.0,0.0,311.0,1683.0,0.0,3.0,0.0,0.0,6105.24023438
104,45.0,0.0,331.0,1687.0,0.0,3.0,0.0,0.0,6118.37988281
105,42.5,0.0,314.0,1683.0,0.0,3.0,2.5,0.0,6115.1796875
106,45.0,0.0,312.0,1682.0,0.0,3.0,0.0,0.0,6112.49023438
107,45.0,0.0,312.0,1682.0,0.0,3.0,0.0,0.0,6112.49023438
108,45.0,0.0,312.0,1682.0,0.0,3.0,0.0,0.0,6112.49023438
109,45.0,0.0,316.0,1686.0,0.0,3.0,0.0,0.0,6098.89990234
110,45.0,0.0,306.0,1687.0,0.0,4.0,0.0,0.0,6108.99023438
111,45.0,0.0,317.0,1680.0,0.0,4.0,0.0,0.0,6101.18994141
112,45.0,0.0,313.0,1680.0,0.0,3.0,0.0,0.0,6094.1796875
113,50.0,0.0,396.0,1681.0,0.0,4.0,0.0,0.0,6239.10009766
114,47.5,0.0,398.0,1678.0,0.0,3.0,2.5,0.0,6222.36035156
115,45.0,0.0,393.0,1675.0,0.0,4.0,2.5,0.0,6229.12988281
116,45.0,0.0,383.0,1677.0,0.0,3.0,0.0,0.0,6224.87011719
117,50.0,0.0,302.0,1679.0,0.0,3.0,0.0,0.0,6183.22998047
118,45.0,0.0,313.0,1681.0,0.0,4.0,0.0,1.0,6108.25
119,45.0,0.0,309.0,1678.0,0.0,4.0,0.0,0.0,6108.53027344
120,45.0,0.0,309.0,1678.0,0.0,3.0,0.0,0.0,6106.68994141
121,45.0,0.0,308.0,1679.0,0.0,4.0,0.0,0.0,6101.83984375
122,50.0,0.0,317.0,1680.0,0.0,3.0,0.0,0.0,6104.62988281
123,45.0,0.0,300.0,1679.0,0.0,3.0,0.0,0.0,6104.41015625
124,50.0,0.0,321.0,1683.0,0.0,3.0,0.0,0.0,6099.97998047
125,50.0,0.0,321.0,1683.0,0.0,3.0,0.0,0.0,6099.97998047
126,45.0,0.0,320.0,1681.0,0.0,3.0,0.0,0.0,6096.8203125
127,45.0,0.0,318.0,1676.0,0.0,3.0,0.0,0.0,6099.65039062
128,45.0,0.0,351.0,1680.0,0.0,3.0,0.0,0.0,6101.97998047
129,45.0,0.0,336.0,1680.0,0.0,3.0,0.0,0.0,6103.06005859
130,45.0,0.0,340.0,1680.0,0.0,4.0,0.0,0.0,6110.4296875
131,45.0,0.0,310.0,1683.0,0.0,3.0,0.0,0.0,6100.1796875
132,45.0,0.0,311.0,1682.0,0.0,4.0,0.0,0.0,6096.16992188
133,45.0,0.0,318.0,1681.0,0.0,4.0,0.0,0.0,6104.37011719
134,45.0,0.0,316.0,1684.0,0.0,4.0,0.0,0.0,6110.0703125
135,50.0,0.0,320.0,1680.0,0.0,4.0,0.0,0.0,6119.97021484
136,42.5,0.0,329.0,1675.0,0.0,4.0,0.0,0.0,6095.35986328
137,45.0,0.0,328.0,1680.0,0.0,4.0,0.0,0.0,6098.5
138,42.5,0.0,319.0,1682.0,0.0,4.0,0.0,0.0,6093.50976562
139,42.5,0.0,350.0,1682.0,0.0,3.0,0.0,0.0,6098.99023438
140,45.0,0.0,346.0,1679.0,0.0,5.0,2.5,0.0,6091.25
141,45.0,0.0,351.0,1675.0,0.0,4.0,2.5,0.0,6091.83007812
142,45.0,0.0,351.0,1675.0,0.0,4.0,2.5,0.0,6091.83007812
143,45.0,0.0,351.0,1675.0,0.0,4.0,2.5,0.0,6091.83007812
144,45.0,0.0,350.0,1675.0,0.0,5.0,0.0,0.0,6083.12011719
145,42.5,0.0,351.0,1671.0,0.0,4.0,2.5,0.0,6089.16015625
146,42.5,0.0,311.0,1674.0,0.0,4.0,0.0,0.0,6106.16992188
147,42.5,0.0,334.0,1673.0,0.0,3.0,2.5,0.0,6088.97998047
148,42.5,0.0,353.0,1674.0,0.0,3.0,2.5,0.0,6079.03027344
149,42.5,0.0,343.0,1674.0,0.0,3.0,2.5,0.0,6083.41015625
150,45.0,0.0,341.0,1672.0,0.0,4.0,2.5,0.0,6079.06005859
151,45.0,0.0,336.0,1673.0,0.0,3.0,2.5,0.0,6081.8203125
152,42.5,0.0,311.0,1676.0,0.0,3.0,2.5,0.0,6093.12988281
153,45.0,0.0,312.0,1675.0,0.0,3.0,2.5,0.0,6078.3203125
154,42.5,0.0,307.0,1671.0,0.0,3.0,0.0,0.0,6079.99023438
155,45.0,0.0,309.0,1671.0,0.0,4.0,0.0,0.0,6073.75
156,42.5,0.0,356.0,1671.0,0.0,4.0,0.0,0.0,6082.86035156
157,42.5,0.0,345.0,1669.0,0.0,4.0,2.5,0.0,6182.49023438
158,45.0,0.0,306.0,1669.0,0.0,4.0,2.5,0.0,6180.81005859
159,45.0,0.0,311.0,1666.0,0.0,3.0,0.0,0.0,6171.19042969
160,45.0,0.0,311.0,1666.0,0.0,3.0,0.0,0.0,6171.19042969
161,45.0,0.0,311.0,1666.0,0.0,3.0,0.0,0.0,6171.19042969
162,45.0,0.0,317.0,1668.0,0.0,3.0,0.0,0.0,6168.91015625
163,45.0,0.0,314.0,1665.0,0.0,4.0,2.5,0.0,6171.54003906
164,45.0,0.0,307.0,1671.0,0.0,3.0,2.5,0.0,6174.02001953
165,45.0,0.0,310.0,1667.0,0.0,3.0,2.5,0.0,6169.91992188
166,45.0,0.0,301.0,1665.0,0.0,4.0,0.0,0.0,6171.37011719
167,45.0,0.0,296.0,1668.0,0.0,3.0,0.0,0.0,6177.64013672
168,45.0,0.0,300.0,1668.0,0.0,4.0,0.0,0.0,6174.12011719
169,45.0,0.0,312.0,1662.0,0.0,4.0,0.0,0.0,6155.12988281
170,45.0,0.0,311.0,1666.0,0.0,4.0,0.0,0.0,6171.49023438
171,45.0,0.0,315.0,1665.0,0.0,4.0,0.0,0.0,6171.45019531
172,45.0,0.0,310.0,1670.0,0.0,3.0,0.0,0.0,6069.81005859
173,45.0,0.0,311.0,1670.0,0.0,3.0,0.0,0.0,6056.87988281
174,45.0,0.0,299.0,1670.0,0.0,3.0,0.0,0.0,6061.4296875
175,45.0,0.0,293.0,1674.0,0.0,3.0,0.0,0.0,6062.62011719
176,47.5,0.0,296.0,1671.0,0.0,3.0,0.0,0.0,6063.60009766
177,45.0,0.0,326.0,1675.0,0.0,3.0,0.0,0.0,6070.70019531
178,45.0,0.0,326.0,1675.0,0.0,3.0,0.0,0.0,6070.70019531
179,45.0,0.0,335.0,1674.0,0.0,3.0,0.0,0.0,6074.14990234
180,45.0,0.0,311.0,1673.0,0.0,3.0,0.0,0.0,6083.53027344
181,45.0,0.0,311.0,1673.0,0.0,3.0,0.0,0.0,6078.35986328
182,45.0,0.0,314.0,1665.0,1.0,4.0,0.0,0.0,6083.10009766
183,45.0,0.0,314.0,1665.0,0.0,3.0,0.0,0.0,6103.12011719
184,45.0,0.0,315.0,1673.0,0.0,3.0,0.0,0.0,6085.5
185,45.0,0.0,318.0,1668.0,0.0,3.0,0.0,0.0,6085.45019531
186,45.0,0.0,318.0,1668.0,0.0,3.0,0.0,0.0,6053.31982422
187,45.0,0.0,315.0,1667.0,0.0,3.0,0.0,0.0,6097.0703125
188,45.0,0.0,335.0,1665.0,0.0,3.0,0.0,0.0,6078.25
189,45.0,0.0,336.0,1662.0,0.0,3.0,0.0,0.0,6051.00976562
190,45.0,0.0,343.0,1660.0,0.0,4.0,0.0,0.0,6080.5703125
191,45.0,0.0,349.0,1662.0,0.0,3.0,0.0,0.0,6061.35986328
192,45.0,0.0,312.0,1663.0,0.0,3.0,0.0,0.0,6060.20996094
193,45.0,0.0,319.0,1663.0,0.0,4.0,0.0,0.0,6068.79003906
194,45.0,0.0,345.0,1661.0,0.0,3.0,2.5,0.0,6050.28027344
195,45.0,0.0,345.0,1661.0,0.0,3.0,2.5,0.0,6050.28027344
196,45.0,0.0,340.0,1661.0,0.0,4.0,2.5,0.0,6066.0
