,CE appliance,dish washer,electric space heater,electric stove,fridge,washer dryer,main
0,0.0,1.0,29.0,2.0,1.0,3.0,591.390014648
1,0.0,0.0,36.0,2.0,1.0,3.0,586.650024414
2,0.0,0.0,30.0,2.0,1.0,3.0,586.450012207
3,0.0,0.0,30.0,2.0,1.0,3.0,430.070007324
4,0.0,0.0,30.0,2.0,1.0,3.0,430.070007324
5,0.0,0.0,47.0,2.0,1.0,3.0,429.639984131
6,0.0,0.0,34.0,2.0,0.0,3.0,425.179992676
7,0.0,0.0,31.0,2.0,0.0,3.0,429.399993896
8,0.0,0.0,32.0,2.0,1.0,3.0,430.839996338
9,0.0,1.0,31.0,2.0,1.0,3.0,422.720001221
10,0.0,0.0,31.0,2.0,0.0,3.0,434.399993896
11,0.0,1.0,35.0,2.0,0.0,3.0,430.230010986
12,0.0,0.0,24.0,2.0,1.0,3.0,428.769989014
13,0.0,0.0,32.0,2.0,1.0,3.0,422.130004883
14,0.0,0.0,33.0,2.0,0.0,3.0,424.109985352
15,0.0,0.0,32.0,2.0,0.0,3.0,424.489990234
16,0.0,0.0,33.0,2.0,0.0,3.0,430.410003662
17,0.0,0.0,34.0,2.0,0.0,3.0,425.770019531
18,0.0,0.0,32.0,2.0,0.0,3.0,427.400024414
19,0.0,1.0,31.0,2.0,0.0,3.0,427.739990234
20,0.0,0.0,30.0,2.0,1.0,3.0,423.930023193
21,0.0,0.0,30.0,2.0,1.0,3.0,419.5
22,0.0,0.0,33.0,2.0,1.0,3.0,425.970001221
23,0.0,0.0,34.0,2.0,0.0,3.0,425.709991455
24,0.0,0.0,38.0,2.0,1.0,3.0,426.779998779
25,0.0,0.0,38.0,2.0,1.0,3.0,424.710021973
26,0.0,0.0,38.0,2.0,1.0,3.0,424.710021973
27,0.0,0.0,29.0,2.0,1.0,3.0,425.100006104
28,0.0,0.0,40.0,2.0,0.0,3.0,431.089996338
29,0.0,1.0,28.0,2.0,0.0,3.0,430.449981689
30,0.0,0.0,31.0,2.0,1.0,3.0,426.83001709
31,0.0,0.0,31.0,2.0,1.0,3.0,422.989990234
32,0.0,1.0,30.0,2.0,1.0,3.0,431.720001221
33,0.0,1.0,29.0,2.0,0.0,3.0,428.730010986
34,0.0,1.0,33.0,2.0,0.0,3.0,431.520019531
35,0.0,0.0,29.0,2.0,1.0,3.0,425.950012207
36,0.0,1.0,29.0,2.0,0.0,3.0,424.990020752
37,0.0,1.0,29.0,2.0,0.0,3.0,424.350006104
38,0.0,0.0,30.0,2.0,0.0,3.0,427.349975586
39,0.0,0.0,31.0,2.0,1.0,3.0,425.929992676
40,0.0,1.0,34.0,2.0,0.0,3.0,426.25
41,0.0,1.0,31.0,2.0,0.0,3.0,430.010009766
42,0.0,1.0,30.0,2.0,1.0,3.0,428.41998291
43,0.0,1.0,30.0,2.0,1.0,3.0,430.279998779
44,0.0,1.0,31.0,2.0,0.0,3.0,425.349975586
45,0.0,1.0,45.0,2.0,1.0,3.0,421.630004883
46,0.0,0.0,47.0,2.0,1.0,3.0,427.700012207
47,0.0,0.0,40.0,2.0,127.0,3.0,423.360015869
48,0.0,0.0,40.0,2.0,127.0,3.0,423.360015869
49,0.0,0.0,39.0,2.0,126.0,3.0,536.690002441
50,0.0,0.0,37.0,2.0,126.0,3.0,536.83001709
51,0.0,0.0,34.0,2.0,126.0,3.0,536.049987793
52,0.0,0.0,37.0,2.0,126.0,3.0,538.780029297
53,0.0,0.0,38.0,2.0,126.0,3.0,535.08001709
54,0.0,1.0,40.0,2.0,1.0,3.0,430.820007324
55,0.0,1.0,35.0,2.0,1.0,3.0,432.659973145
56,0.0,1.0,37.0,2.0,0.0,3.0,423.399993896
57,0.0,0.0,34.0,2.0,1.0,3.0,422.489990234
58,0.0,0.0,34.0,2.0,1.0,3.0,420.620025635
59,0.0,0.0,50.0,2.0,1.0,3.0,423.540008545
60,0.0,0.0,49.0,2.0,0.0,3.0,421.809997559
61,0.0,0.0,42.0,2.0,0.0,3.0,422.66998291
62,0.0,0.0,46.0,2.0,0.0,3.0,430.339996338
63,0.0,0.0,45.0,2.0,1.0,3.0,425.459991455
64,0.0,1.0,39.0,2.0,1.0,3.0,424.869995117
65,0.0,0.0,42.0,2.0,1.0,3.0,421.579986572
66,0.0,0.0,35.0,2.0,1.0,3.0,430.619995117
67,0.0,0.0,34.0,2.0,0.0,3.0,430.109985352
68,0.0,0.0,39.0,2.0,0.0,3.0,433.040008545
69,0.0,1.0,38.0,2.0,1.0,3.0,432.339996338
70,0.0,1.0,37.0,2.0,2.0,3.0,432.890014648
71,0.0,1.0,37.0,2.0,2.0,3.0,432.890014648
72,0.0,0.0,40.0,2.0,3.0,3.0,436.779998779
73,0.0,0.0,40.0,2.0,3.0,3.0,440.069976807
74,0.0,1.0,43.0,2.0,4.0,3.0,443.199981689
75,0.0,1.0,47.0,2.0,5.0,3.0,441.739990234
76,0.0,0.0,36.0,2.0,3.0,3.0,441.780029297
77,0.0,1.0,37.0,2.0,5.0,3.0,441.989990234
78,0.0,1.0,51.0,2.0,4.0,3.0,437.220001221
79,0.0,0.0,47.0,2.0,5.0,3.0,436.020019531
80,0.0,1.0,43.0,2.0,4.0,3.0,433.459991455
81,0.0,1.0,43.0,2.0,5.0,3.0,439.470001221
82,0.0,0.0,44.0,2.0,3.0,3.0,441.25
83,0.0,1.0,36.0,2.0,5.0,3.0,436.970001221
84,0.0,1.0,48.0,2.0,5.0,3.0,440.029998779
85,0.0,0.0,44.0,2.0,5.0,3.0,440.540008545
86,0.0,1.0,45.0,2.0,4.0,3.0,437.770019531
87,0.0,0.0,47.0,2.0,5.0,3.0,436.559997559
88,0.0,0.0,46.0,2.0,3.0,3.0,435.959991455
89,0.0,0.0,46.0,2.0,3.0,3.0,436.239990234
90,0.0,1.0,45.0,2.0,3.0,3.0,438.709991455
91,0.0,1.0,40.0,2.0,5.0,3.0,435.890014648
92,0.0,1.0,37.0,2.0,4.0,3.0,437.719970703
93,0.0,1.0,37.0,2.0,4.0,3.0,437.719970703
94,0.0,1.0,41.0,2.0,5.0,3.0,438.179992676
95,0.0,1.0,41.0,2.0,5.0,3.0,439.559997559
96,0.0,0.0,38.0,2.0,4.0,3.0,439.530029297
97,0.0,1.0,43.0,2.0,5.0,3.0,438.220001221
98,0.0,0.0,47.0,2.0,2.0,3.0,441.429992676
99,0.0,1.0,38.0,2.0,5.0,3.0,437.970001221
100,0.0,1.0,43.0,2.0,3.0,3.0,437.989990234
101,0.0,0.0,42.0,2.0,3.0,3.0,437.089996338
102,0.0,0.0,43.0,2.0,5.0,3.0,437.58001709
103,0.0,0.0,46.0,2.0,3.0,3.0,435.839996338
104,0.0,0.0,49.0,2.0,5.0,3.0,434.410003662
105,0.0,0.0,44.0,2.0,2.0,3.0,435.639984131
106,0.0,0.0,36.0,2.0,4.0,3.0,437.779998779
107,0.0,1.0,35.0,2.0,5.0,3.0,438.399993896
108,0.0,1.0,48.0,2.0,5.0,3.0,438.730010986
109,0.0,1.0,43.0,2.0,3.0,3.0,436.679992676
110,0.0,1.0,35.0,2.0,5.0,3.0,436.869995117
111,0.0,0.0,36.0,2.0,3.0,3.0,436.150024414
112,0.0,0.0,40.0,2.0,2.0,3.0,439.470001221
113,0.0,0.0,46.0,2.0,5.0,3.0,436.380004883
114,0.0,1.0,39.0,2.0,5.0,3.0,436.670013428
115,0.0,1.0,39.0,2.0,5.0,3.0,436.670013428
116,0.0,1.0,40.0,2.0,5.0,3.0,437.059997559
117,0.0,1.0,41.0,2.0,4.0,3.0,437.459991455
118,0.0,1.0,36.0,2.0,5.0,3.0,437.160003662
119,0.0,1.0,40.0,2.0,5.0,3.0,437.420013428
120,0.0,1.0,37.0,2.0,4.0,3.0,438.649993896
121,0.0,1.0,40.0,2.0,5.0,3.0,439.25
122,0.0,0.0,41.0,2.0,3.0,3.0,434.889984131
123,0.0,0.0,49.0,2.0,5.0,3.0,437.160003662
124,0.0,0.0,49.0,2.0,5.0,3.0,434.25
125,0.0,0.0,39.0,2.0,5.0,3.0,438.010009766
126,0.0,1.0,40.0,2.0,4.0,3.0,436.299987793
127,0.0,1.0,36.0,2.0,5.0,3.0,437.459991455
128,0.0,0.0,35.0,2.0,5.0,3.0,438.720001221
129,0.0,0.0,40.0,2.0,4.0,3.0,438.309997559
130,0.0,0.0,48.0,2.0,5.0,3.0,443.329986572
131,0.0,0.0,50.0,2.0,5.0,3.0,442.320007324
132,0.0,0.0,56.0,2.0,3.0,3.0,440.850006104
133,0.0,0.0,46.0,2.0,5.0,3.0,437.160003662
134,0.0,0.0,37.0,2.0,5.0,3.0,440.009979248
135,0.0,0.0,53.0,2.0,3.0,3.0,438.940002441
136,0.0,1.0,45.0,2.0,5.0,3.0,437.450012207
137,0.0,1.0,45.0,2.0,5.0,3.0,437.450012207
138,0.0,0.0,46.0,2.0,3.0,3.0,438.489990234
139,0.0,1.0,38.0,2.0,3.0,3.0,440.720001221
140,0.0,0.0,39.0,2.0,5.0,3.0,439.450012207
141,0.0,0.0,42.0,2.0,5.0,3.0,440.550018311
142,0.0,1.0,41.0,2.0,5.0,3.0,437.429992676
143,0.0,1.0,44.0,2.0,4.0,3.0,437.589996338
144,0.0,0.0,45.0,2.0,3.0,3.0,438.579986572
145,0.0,0.0,46.0,2.0,4.0,3.0,436.610015869
146,0.0,1.0,48.0,2.0,5.0,3.0,439.029998779
147,0.0,1.0,42.0,2.0,6.0,3.0,438.25
148,0.0,0.0,43.0,2.0,4.0,3.0,437.209991455
149,0.0,1.0,48.0,2.0,4.0,3.0,437.069976807
150,0.0,1.0,46.0,2.0,2.0,3.0,440.160003662
151,0.0,0.0,45.0,2.0,4.0,3.0,438.799987793
152,0.0,1.0,40.0,2.0,5.0,3.0,437.549987793
153,0.0,1.0,40.0,2.0,5.0,3.0,440.029998779
154,0.0,1.0,39.0,2.0,3.0,3.0,437.970001221
155,0.0,1.0,33.0,2.0,4.0,3.0,437.890014648
156,0.0,1.0,35.0,2.0,5.0,3.0,436.430023193
157,0.0,0.0,43.0,2.0,5.0,3.0,437.019989014
158,0.0,1.0,41.0,2.0,4.0,3.0,438.649993896
159,0.0,1.0,41.0,2.0,4.0,3.0,438.649993896
160,0.0,0.0,44.0,2.0,4.0,3.0,441.420013428
161,0.0,1.0,36.0,2.0,5.0,3.0,437.079986572
162,0.0,0.0,36.0,2.0,2.0,3.0,440.019989014
163,0.0,1.0,42.0,2.0,2.0,3.0,438.33001709
164,0.0,0.0,42.0,2.0,5.0,3.0,440.119995117
165,0.0,0.0,43.0,2.0,3.0,3.0,439.970001221
166,0.0,1.0,44.0,2.0,5.0,3.0,439.420013428
167,0.0,1.0,45.0,2.0,4.0,3.0,436.839996338
168,0.0,0.0,50.0,2.0,5.0,3.0,438.299987793
169,0.0,0.0,43.0,2.0,5.0,3.0,436.870025635
170,0.0,1.0,41.0,2.0,4.0,3.0,436.470001221
171,0.0,1.0,44.0,2.0,5.0,3.0,439.329986572
172,0.0,1.0,44.0,2.0,4.0,3.0,439.429992676
173,0.0,0.0,40.0,2.0,5.0,3.0,444.770019531
174,0.0,0.0,44.0,2.0,5.0,3.0,441.709991455
175,0.0,0.0,44.0,2.0,5.0,3.0,442.66998291
176,0.0,1.0,47.0,2.0,5.0,3.0,440.589996338
177,0.0,1.0,44.0,2.0,3.0,3.0,439.309997559
178,0.0,0.0,38.0,2.0,5.0,3.0,440.880004883
179,0.0,1.0,40.0,2.0,5.0,3.0,442.670013428
180,0.0,0.0,48.0,2.0,202.0,3.0,606.420043945
181,0.0,0.0,48.0,2.0,202.0,3.0,606.420043945
182,0.0,0.0,43.0,2.0,198.0,3.0,609.929992676
183,0.0,0.0,42.0,2.0,204.0,3.0,609.570007324
184,0.0,0.0,47.0,2.0,202.0,3.0,613.150024414
185,0.0,0.0,45.0,2.0,193.0,3.0,613.149963379
186,0.0,0.0,44.0,2.0,194.0,3.0,612.940002441
187,0.0,0.0,36.0,2.0,184.0,3.0,608.860046387
188,0.0,0.0,48.0,2.0,194.0,3.0,603.860046387
189,0.0,0.0,46.0,2.0,188.0,3.0,600.820007324
190,0.0,0.0,46.0,2.0,188.0,3.0,600.190002441
191,0.0,0.0,38.0,2.0,186.0,3.0,595.630004883
192,0.0,0.0,38.0,2.0,185.0,3.0,597.709960938
193,0.0,0.0,36.0,2.0,187.0,3.0,593.369995117
194,0.0,0.0,33.0,2.0,176.0,4.0,596.030029297
195,0.0,0.0,42.0,2.0,171.0,3.0,588.549987793
196,0.0,0.0,38.0,2.0,181.0,3.0,591.460021973
197,0.0,0.0,41.0,2.0,177.0,3.0,588.640014648
198,0.0,0.0,40.0,2.0,177.0,3.0,585.429992676
199,0.0,0.0,38.0,2.0,170.0,3.0,589.510009766
200,0.0,0.0,39.0,2.0,173.0,3.0,586.630004883
201,0.0,0.0,53.0,2.0,169.0,3.0,583.83001709
202,0.0,0.0,26.0,2.0,165.0,3.0,581.209960938
203,0.0,0.0,22.0,2.0,165.0,3.0,491.779998779
204,0.0,0.0,22.0,2.0,165.0,3.0,491.779998779
205,0.0,0.0,24.0,3.0,166.0,2.0,453.790008545
206,0.0,0.0,22.0,3.0,166.0,2.0,423.049987793
207,0.0,0.0,23.0,2.0,169.0,2.0,417.760009766
208,0.0,0.0,23.0,3.0,162.0,2.0,413.839996338
209,0.0,0.0,22.0,3.0,166.0,3.0,417.730010986
210,0.0,0.0,23.0,3.0,161.0,2.0,416.620025635
